_id,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
235,NDAA-8ZRNLV,Pho Tau Bay Restaurant,7322 King George Blvd,Surrey,Restaurant,49.13534927,-122.84516144
236,GEDS-7W4PCC,Subway #44714,8050 King George Blvd,Surrey,Restaurant,49.14889145,-122.84525299
237,SWOD-AHGN6F,Tim Horton's #106868,9900 King George Blvd,Surrey,Restaurant,49.18235779,-122.84490967
238,A020396    ,Dell Lanes,10576 King George Blvd,Surrey,Restaurant,49.19523239,-122.84492493
239,NDAA-9EBMZR,Surrey Urban Mission Society,10776 King George Blvd,Surrey,Restaurant,49.19846725,-122.84494781
240,NDAA-9NYPNB,New Express Pizza,13654 Grosvenor Rd,Surrey,Restaurant,49.19969177,-122.84375763
241,GEDS-7UWVFC,Suncreek Village,13687 62 Ave,Surrey,Restaurant,49.11563873,-122.84282684
242,SDFO-8MXR43,Newton Arena,7120 136B St,Surrey,Restaurant,49.13203049,-122.84320831
243,SHEN-AU9QAR,Fab Burgers,7320 137 St,Surrey,Restaurant,49.13598633,-122.84268188
244,GEDS-82XQBH,Maxxine Wright Community Health Centre,13733 92 Ave,Surrey,Restaurant,49.1702652,-122.84243011
245,DMIL-AC3L9S,Boulevard Shelter,10677 Whalley Blvd,Surrey,Restaurant,49.19652939,-122.84266663
246,GEDS-6BEQNQ,The Gateway,13787 100 Ave,Surrey,Restaurant,49.1844635,-122.84039307
247,DMIL-9PBSFT,Garcha Bros Meat Shop,13767 72 Ave,Surrey,Restaurant,49.13376236,-122.83986664
248,DMIL-9QHPY5,Circle K #12207,7175 138 St,Surrey,Restaurant,49.13303375,-122.83917236
249,GEDS-7QVQDQ,Planet India Restaurant,13775 72 Ave,Surrey,Restaurant,49.13378906,-122.83907318
250,GEDS-6SYPL6,Imperial Place Residences,13853 102 Ave,Surrey,Restaurant,49.18792725,-122.8383255
251,GEDS-666UND,New Frontier Club House,9803 140 St,Surrey,Restaurant,49.18060303,-122.83461761
252,GEDS-7R5P2M,Soo's Grocery,13980 108 Ave,Surrey,Restaurant,49.19866943,-122.83459473
253,SHEN-ACXME6,Junior Scholars Educational Childcare,5728 142 St,Surrey,Restaurant,49.10693741,-122.8285675
254,A016986    ,Surrey Pretrial Centre #60614,14323 57 Ave,Surrey,Restaurant,49.10680771,-122.82605743
255,NDAA-A7TQMD,Triple O's Burgers,14350 64 Ave,Surrey,Restaurant,49.11891937,-122.82463074
256,A019121    ,Pho Hoa Restaurant (Surrey),14357 104 Ave,Surrey,Restaurant,49.1917305,-122.82376862
257,GEDS-7YZN48,7-Eleven #34339,14410 108 Ave,Surrey,Restaurant,49.19859695,-122.82250977
258,NDAA-9QERMR,Sources Connection Cafe & Catering,14601 20 Ave,Surrey,Restaurant,49.03981018,-122.81861877
259,GEDS-69GNPL,Valley View Funeral Home,14660 72 Ave,Surrey,Restaurant,49.13357162,-122.81693268
260,HCAR-BA8QHR,Seriously Good Catering (Rotary Field House),2197 148 St,Surrey,Restaurant,49.0403862,-122.81508636
261,SHEN-AU2UNF,Sheila's Catering,2201 148 St,Surrey,Restaurant,49.04327393,-122.81479645
