_id,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
73,GEDS-7UUR33,Lighthouse Fresh and Tasty,8050 King George Blvd,Surrey,Restaurant,49.14889145,-122.84525299
74,A019360    ,Starbucks Coffee #4255,10362 King George Blvd,Surrey,Restaurant,49.19095993,-122.84505463
75,GEDS-6WMPUQ,The Phoenix Centre Food Service,13686 94A Ave,Surrey,Restaurant,49.17453384,-122.8433075
76,HCAR-BTHQWE,Tomato's The Indian Flavor,7238 137th St,Surrey,Restaurant,49.1345334,-122.84261524
77,RORS-67JTWY,Surrey Memorial Hospital #63229 (Java Express),13750 96 Ave,Surrey,Restaurant,49.17682266,-122.84243774
78,SHEN-B4GSRS,City Centre Youth Hub (CCYH),10453 Whalley Blvd,Surrey,Restaurant,49.19257736,-122.84234619
79,GEDS-72NPVF,Creekside Withdrawal Management Centre,13740 94A Ave,Surrey,Restaurant,49.17451096,-122.84204865
80,A020331    ,Come Share Centre (68th Ave),13855 68 Ave,Surrey,Restaurant,49.12674713,-122.83893585
81,HCAR-B7YP88,Harbin Food,1647 140 St,Surrey,Restaurant,49.03210831,-122.83457947
82,HCAR-BEKLEK,Vegan Supply,14016 32 Ave,Surrey,Restaurant,49.06010437,-122.83346558
83,SDFO-8L4T27,Corporate Classic Caterers,14033 92 Ave,Surrey,Restaurant,49.17026901,-122.8323822
84,NDAA-92QN5J,Tim Horton's (RCMP),14200 Green Timbers Way,Surrey,Restaurant,49.17966843,-122.82991791
85,SWOD-AHJR4U,Blenz Coffee (Sullivan Heights),14330 64 Ave,Surrey,Restaurant,49.1185112,-122.8252182
86,HPAR-AFGRCA,7-Eleven (Canada Store #37865H),14445 64 Ave,Surrey,Restaurant,49.11930466,-122.82268524
87,GEDS-6TCTLH,Bento Nouveau (RCSS #1556),14650 104 Ave,Surrey,Restaurant,49.19123459,-122.81602478
88,GEDS-7WDP3L,Dairy Queen #26978,14741 108 Ave,Surrey,Restaurant,49.19889069,-122.81388092
89,A016809    ,Semiahmoo Secondary School,1785 148 St,Surrey,Restaurant,49.03511429,-122.81297302
90,A018895    ,Green Timbers Pub,9167 148 St,Surrey,Restaurant,49.16961288,-122.81249237
91,GEDS-6UHQTM,Pho Tau Bay Restaurant (Surrey),10782 148 St,Surrey,Restaurant,49.19805145,-122.81226349
92,RORS-63QTKM,Donair Affair (Surrey),10786 148 St,Surrey,Restaurant,49.19809723,-122.81225586
93,KSMH-AWKPSL,Tofun Fusion Hot Pot,3189 King George Blvd,Surrey,Restaurant,49.05963898,-122.81161499
